Code,Class,Category,Rate,Unit,Assessed,Rate impost,Code of zone,Name of zone,Comments,-99
6402,Category 'B'  Mobile phone sales only,,100,,,,,,,-99
6403,Category 'C'  Mobile phone repairs only,,50,,,,,,,-99
6404,Category 'D'  Phone card sellers,,15,,,,,,,-99
6500,Night Club,,15,,,,,,,-99
6501,Category 'A' (eg. Nawas& 1106),,40,,,,,,,-99
6502,Category 'B' (Others),,20,,,,,,,-99
6503,Night Club/Restaurant (eg. Shandys&Papilion&Mamamia),,40,,,,,,,-99
6600,Private Communication/Secretarial Services,,,,,,,,,-99
6601,Category 'A' (All Services including Internet-Sametro),,50,,,,,,,-99
6602,Category 'B' (Telephone & Secretarial Services),,35,,,,,,,-99
6603,Category 'C' ( Secretarial Services or Comm Centre),,25,,,,,,,-99
6604,Photocopying,,20,,,,,,,-99
6700,Private News/Media Firms,,,,,,,,,-99
6701,Radio,,500,,,,,,,-99
6702,Print Media,,100,,,,,,,-99
6703,News paper Vendors ,,20,,,,,,,-99
6800,Postal Service,,,,,,,,,-99
6801,Category 'A' (eg. Ghana post Main Branch& Tarkwa),,200,,,,,,,-99
6802,Category 'B' (eg. Branches outside Tarkwa),,30,,,,,,,-99
6900,Petroleum Products/Retail Outlets,,,,,,,,,-99
6901,Category 'A' (oil Companies Bulk Distribution (eg.Shell,,3000,,,,,,,-99
6902,Category 'B' (Shell /Total Station&Tarkwa),,700,,,,,,,-99
6903,Category 'C' (Filling Station/Surface Tanks),,200,,,,,,,-99
6904,Category 'D' (Kerosine),,30,,,,,,,-99
7000,Printing Press,,,,,,,,,-99
7001,Category 'A' ,,100,,,,,,,-99
7002,Category 'B' ,,60,,,,,,,-99
7100,Photographic Studio,,25,,,,,,,-99
7101,Freelance Photographer,,20,,,,,,,-99
7201,Photo Laboratory,,60,,,,,,,-99
7300,Professional Services,,,,,,,,,-99
7301,i  Legal Firms,,150,,,,,,,-99
7302,ii  Accountancy Firms,,150,,,,,,,-99
7303,iii  Engineering/Architectural,,150,,,,,,,-99
7304,iv  Auctioneering,,100,,,,,,,-99
7305,v  Consultancy,,150,,,,,,,-99
7306,vi  Surveyors (Doe& Okyere& Abu etc),,150,,,,,,,-99
7307,vii  Recruiting Agencies,,150,,,,,,,-99
7400,Private Hospital/Clinic,,,,,,,,,-99
7401,Category 'A' (Hospitals- ABA),,500,,,,,,,-99
7402,Category 'B' (others),,200,,,,,,,-99
7500,Processing of Mineral/mining Documents,,,,,,,,,-99
7501,Precious /other related Minerals,,60,,,,,,,-99
7502,Non-Precious Minerals/others(sand&stone&etc),,30,,,,,,,-99
7600,Poultry,,,,,,,,,-99
7601,Category 'A' ,,30,,,,,,,-99
7602,Category 'B',,15,,,,,,,-99
7700,Private Schools,,,,,,,,,-99
7701,Category 'A'  (Golden Age&  etc),,200,,,,,,,-99
7702,Category 'B' ,,150,,,,,,,-99
7703,Category 'C' (Pre-School - ECDC),,40,,,,,,,-99
7704,Private SSS/Voc/Tech Schools,,60,,,,,,,-99
7800,Palm Oil/kernel Processing   ,,,,,,,,,-99
7801,Category 'A' (Large Scale,,150,,,,,,,-99
7802,Category 'B' (Medium Scale),,10,,,,,,,-99
7900,Quarry,,,,,,,,,-99
7901,Category 'A' (Industrial Eg. Boss Kudos),,500,,,,,,,-99
7902,Category 'B' (Manual),,50,,,,,,,-99
7903,Sand Winning ,,150,,,,,,,-99
8001,Real Estate Developers,,300,,,,,,,-99
8100,Renting of Property as Business,,,,,,,,,-99
8101,Canopies& Tent& Chairs& Mattress& etc,,50,,,,,,,-99
8201,Raffia/Cane Weavers,,20,,,,,,,-99
8300,Record Studio/Sellers,,,,,,,,,-99
8301,Record Studio(CD& Audio & Video Cassettes),,100,,,,,,,-99
8302,Category 'B' (Wayside - CD& Audio & Video Cassettes),,20,,,,,,,-99
8401,Registration of Newspaper Vendor,,20,,,,,,,-99
8501,Rubber Stamps Making Shops,,20,,,,,,,-99
8601,Spinning/Musical Band/Brass Band,,50,,,,,,,-99
8701,Sand/Stone Dealers,,50,,,,,,,-99
8800,Repair/ Spare parts Sales Outlets,,,,,,,,,-99
8801,"Category 'A' (Eg. Konadu, Efo Kwabena, Christ the King etc",,150,,,,,,,-99
8802,Category 'B' (Stores),,80,,,,,,,-99
8803,Category 'C' (Table Top),,20,,,,,,,-99
8804,Small fitting shops,,50,,,,,,,-99
8900,Second Hand Clothing/Shoe Wholesalers,,,,,,,,,-99
8901,Category 'A' (Kiosk/ Stores),,40,,,,,,,-99
8902,Category 'B' (Table Top),,15,,,,,,,-99
8903,wholesale,,50,,,,,,,-99
9001,Snack Bar,,20,,,,,,,-99
9101,Small Scale Mining /Stone Crusher,,20,,,,,,,-99
9201,Timber Concession Operators,,350,,,,,,,-99
9300,Timber Processing/Sales Outlets Sawnmills,,,,,,,,,-99
9301,Category 'A' (Large Scale-Abuga),,60,,,,,,,-99
9302,Category 'B' (Small Scale),,40,,,,,,,-99
9303,Sawn Timber Sellers,,25,,,,,,,-99
9400,Telecom Service,,,,,,,,,-99
9401,Category 'A' Main Service Providers(eg. Vodafone& MTN),,5000,,,,,,,-99
9402,Category 'B' Telecom service agents,,700,,,,,,,-99
9403,Category 'C' Phone Operators and card dealers,,10,,,,,,,-99
9404,Category 'D' Phone  card dealers  only,,10,,,,,,,-99
9500,Traditional Medical Practitioners,,,,,,,,,-99
9501,Category 'A' (Large eg. Hans& Advance& etc    ,,30,,,,,,,-99
9502,Category 'B' (Small)     ,,25,,,,,,,-99
9503,Category 'C' (Pedlers),,20,,,,,,,-99
9504,Food supplement/Herbal dealers (Cat A),,150,,,,,,,-99
9505,Food supplement/Herbal dealers (Cat B),,100,,,,,,,-99
9600,Tailoring/Dressmaking Shop,,,,,,,,,-99
9601,Category 'A' (Industrial) Gagarin,,150,,,,,,,-99
9602,Category 'B' ,,100,,,,,,,-99
9603,Category 'C' (General),,20,,,,,,,-99
9700,Tyres Dealers,,,,,,,,,-99
9701,Category 'A' (eg. Konadu Tyre Centre& ABC),,70,,,,,,,-99
9702,Category 'A' (Home Use),,50,,,,,,,-99
9703,Category 'B' (Home Use),,30,,,,,,,-99
9800,Utility Services,,,,,,,,,-99
9801,Water / Electricity Company,,1500,,,,,,,-99
9900,Entertainment License - Registration,,,,,,,,,-99
9901,Category A (Casino),,1000,,,,,,,-99
9902,Category B (Video House/TV Games),,100,,,,,,,-99
9903,Slot Machine,,50,,,,,,,-99
10001,Video Rentals/Libraries,,20,,,,,,,-99
10101,Video camera operators,,20,,,,,,,-99
10201,Others,,20,,,,,,,-99
10300, INTRA-CITY BUSES,,,,,,,,,-99
10301,   Category 'A' Bus Rental),(eg. K.T.S. Services),1500,,,,,,,-99
10302,   Category 'B' (Car Rental),,300,,,,,,,-99
10303,Haulage Companies,,1000,,,,,,,-99
10401,Travel and Tour Agent,,400,,,,,,,-99
10501,Warehouse,,400,,,,,,,-99
10601,Wax Print Retailers Shop,,30,,,,,,,
